haskell-doctemplates 0.10.0.1-32
haskell-emojis 0.1.2-1
haskell-erf 2.0.0.0-24
haskell-errors 2.3.0-64
haskell-file-embed 0.0.14.0-4
haskell-ghc-bignum-orphans 0.1-2
haskell-glob 0.10.2-17
haskell-haddock-library 1.10.0-97
haskell-hashable 1.3.5.0-11
haskell-hourglass 0.2.12-173
haskell-hslua 1.3.0.1-98
haskell-hslua-module-path 0.1.0.1-83
haskell-hslua-module-system 0.2.2.1-154
haskell-hslua-module-text 0.3.0.1-142
haskell-hsyaml 0.2.1.0-143
haskell-http 4000.3.16-131
haskell-http-client 0.7.10-10
haskell-http-client-tls 0.3.5.3-490
haskell-http-types 0.12.3-210
haskell-indexed-traversable 0.1.2-2
haskell-integer-logarithms 1.0.3.1-6
haskell-iproute 1.7.12-5
haskell-ipynb 0.1.0.1-277
haskell-jira-wiki-markup 1.4.0-40
haskell-juicypixels 3.3.6-17
haskell-memory 0.16.0-44
haskell-mime-types 0.1.0.9-14
haskell-mono-traversable 1.0.15.3-28
haskell-network 3.1.2.7-5
haskell-network-uri 2.6.4.1-62
haskell-old-locale 1.0.0.7-30
haskell-old-time 1.1.0.3-30
haskell-pandoc-types 1.22-138
haskell-pem 0.2.4-207
haskell-primitive 0.7.3.0-16
haskell-quickcheck 2.14.2-265
haskell-random 1.2.1-53
haskell-regex-base 0.94.0.2-2
haskell-regex-tdfa 1.3.1.1-37
haskell-resourcet 1.2.4.3-29
haskell-safe 0.3.19-8
haskell-scientific 0.3.7.0-40
haskell-sha 1.6.4.4-19
haskell-skylighting 0.11-70
haskell-skylighting-core 0.11-73
haskell-socks 0.6.1-155
haskell-split 0.2.3.4-172
haskell-splitmix 0.1.0.4-31
haskell-streaming-commons 0.2.2.3-3
haskell-strict 0.4.0.1-96
haskell-syb 0.7.2.1-107
haskell-tagged 0.8.6.1-5
haskell-tagsoup 0.14.8-153
haskell-temporary 1.3-351
haskell-texmath 0.12.3.2-13
haskell-text-conversions 0.3.1-110
haskell-text-icu 0.8.0-2
haskell-th-abstraction 0.4.3.0-2
haskell-th-compat 0.1.3-24
haskell-th-lift 0.8.2-11
haskell-th-lift-instances 0.1.19-13
haskell-these 1.1.1.1-123
haskell-time-compat 1.9.6.1-24
haskell-tls 1.5.7-5
haskell-transformers-compat 0.7.1-2
haskell-typed-process 0.2.8.0-13
haskell-unicode-collation 0.1.3.1-20
haskell-unicode-data 0.2.0-2
haskell-unicode-transforms 0.4.0-12
haskell-uniplate 1.6.13-100
haskell-unliftio-core 0.2.0.1-9
haskell-unordered-containers 0.2.16.0-1
haskell-utf8-string 1.0.2-77
haskell-uuid-types 1.0.5-44
haskell-vector 0.12.3.1-44
haskell-vector-algorithms 0.8.0.4-92
haskell-x509 1.7.5-187
haskell-x509-store 1.6.9-2
haskell-x509-system 1.6.7-5
haskell-x509-validation 1.6.12-7
haskell-xml 1.3.14-30
haskell-xml-conduit 1.9.1.1-81
haskell-xml-types 0.3.8-8
haskell-zip-archive 0.4.1-159
haskell-zlib 0.6.2.3-60
hdf5 1.12.1-1
hicolor-icon-theme 0.17-2
hidapi 0.11.2-1
htop 3.1.2-1
http-parser 2.9.4-1
hunspell 1.7.0-3
hwdata 0.356-1
hwloc 2.7.0-1
hyphen 2.8.8-3
i3-gaps 4.20.1-2
i3blocks 1.5-3
i3lock 2.13-1
i3status 2.14-1
iana-etc 20220205-1
icu 70.1-1
imagemagick 7.1.0.24-1
imath 3.1.4-1
imlib2 1.8.0-1
inkscape 1.1.2-1
intel-mkl 2020.4.304-1
intellij-idea-ultimate-edition 2021.3.2-1
intellij-idea-ultimate-edition-jre 2021.3.2-1
iproute2 5.16.0-1
iptables 1:1.8.7-1
iputils 20211215-1
iso-codes 4.9.0-1
jack2 1.9.20-4
jansson 2.14-1
jasper 2.0.33-1
java-environment-common 3-3
java-runtime-common 3-3
jdk-openjdk 17.0.1.u12-1
jemalloc 1:5.2.1-6
jre-openjdk 17.0.1.u12-1
jre-openjdk-headless 17.0.1.u12-1
js78 78.15.0-3
json-c 0.15-3
json-glib 1.6.6-1
jsoncpp 1.9.5-1
kbd 2.4.0-2
keepass 2.50-1
keeweb-desktop-bin 1.18.7-1
keyutils 1.6.3-1
kguiaddons 5.91.0-1
kitty 0.24.2-1
kitty-shell-integration 0.24.2-1
kitty-terminfo 0.24.2-1
kmod 29-2
krb5 1.19.2-2
l-smash 2.14.5-2
lame 3.100-3
lapack 3.10.0-1
lcms2 2.13.1-1
ldns 1.8.1-1
less 1:590-1
lib2geom 1.1-2
lib32-acl 2.3.1-1
lib32-alsa-lib 1.2.6.1-1
lib32-alsa-plugins 1.2.6-1
lib32-attr 2.5.1-1
lib32-brotli 1.0.9-3
lib32-bzip2 1.0.8-2
lib32-curl 7.81.0-1
lib32-dbus 1.12.20-1
lib32-e2fsprogs 1.46.5-1
lib32-expat 2.4.4-1
lib32-faudio 22.01-1
lib32-fontconfig 2:2.13.96-1
lib32-freetype2 2.11.1-1
lib32-gcc-libs 11.2.0-3
lib32-gettext 0.21-1
lib32-glib2 2.70.4-1
lib32-glibc 2.35-2
lib32-glu 9.0.2-2
lib32-gmp 6.2.1-1
lib32-gnutls 3.7.3-1
lib32-harfbuzz 3.4.0-1
lib32-icu 70.1-1
lib32-keyutils 1.6.3-1
lib32-krb5 1.19.2-2
lib32-lcms2 2.13.1-1
lib32-libcap 2.63-1
lib32-libdrm 2.4.109-1
lib32-libelf 0.186-3
lib32-libffi 3.4.2-3
lib32-libgcrypt 1.9.4-1
lib32-libglvnd 1.4.0-1
lib32-libgpg-error 1.44-1
lib32-libice 1.0.10-1
lib32-libidn2 2.3.2-1
lib32-libjpeg-turbo 2.1.2-1
lib32-libldap 2.6.1-1
lib32-libnl 3.5.0-1
lib32-libpcap 1.10.1-1
lib32-libpciaccess 0.16-1
lib32-libpng 1.6.37-3
lib32-libpng12 1.2.59-2
lib32-libpsl 0.21.1-1
lib32-libsm 1.2.3-1
lib32-libssh2 1.10.0-1
lib32-libtasn1 4.18.0-1
lib32-libtiff 4.3.0-1
lib32-libtirpc 1.3.2-1
lib32-libunistring 0.9.10-1
lib32-libunwind 1.6.2-1
lib32-libx11 1.7.3.1-1
lib32-libxau 1.0.9-1
lib32-libxcb 1.14-1
lib32-libxcrypt 4.4.28-1
lib32-libxcursor 1.2.0-1
lib32-libxdamage 1.1.5-1
lib32-libxdmcp 1.1.3-1
lib32-libxext 1.3.4-1
lib32-libxfixes 6.0.0-1
lib32-libxi 1.8-1
lib32-libxml2 2.9.12-2
lib32-libxrandr 1.5.2-1
lib32-libxrender 0.9.10-2
lib32-libxshmfence 1.3-2
lib32-libxss 1.2.3-1
lib32-libxxf86vm 1.1.4-2
lib32-llvm-libs 13.0.1-1
lib32-lm_sensors 1:3.6.0.r41.g31d1f125-1
lib32-mesa 21.3.6-1
lib32-ncurses 6.3-1
lib32-nettle 3.7.3-1
lib32-nspr 4.33-1
lib32-nss 3.75-1
lib32-nvidia-utils 510.54-1
lib32-openssl 1:1.1.1.m-1
lib32-p11-kit 0.24.1-1
lib32-pam 1.5.2-1
lib32-pcre 8.45-1
lib32-readline 8.1.002-1
lib32-sdl2 2.0.20-1
lib32-sqlite 3.37.2-1
lib32-systemd 250.3-1
lib32-util-linux 2.37.4-1
lib32-vulkan-icd-loader 1.2.203-1
lib32-wayland 1.20.0-1
lib32-xz 5.2.5-2
lib32-zlib 1.2.11-3
lib32-zstd 1.5.2-1
libaec 1.0.6-1
libappindicator-gtk2 12.10.0.r296-1
libarchive 3.6.0-1
libass 0.15.2-1
libassuan 2.5.5-1
libasyncns 0.8+3+g68cd5af-3
libavc1394 0.5.4-4
libavif 0.9.3-1
libbluray 1.3.0-1
libburn 1.5.4-1
libcanberra 0.30+2+gc0620e4-5
libcap 2.63-2
libcap-ng 0.8.2-7
libcdr 0.1.7-3
libcloudproviders 0.3.1-2
libcolord 1.4.5-4
libcroco 0.6.13-2
libcsptr 2.0.4-2
libcups 1:2.4.1-1
libdaemon 0.14-5
libdatrie 0.2.13-1
libdbusmenu-glib 16.04.0-4
libdbusmenu-gtk2 16.04.0-4
libdc1394 2.2.6-2
libdca 0.0.7-1
libde265 1.0.8-1
libdrm 2.4.109-1
libdvbpsi 1:1.3.3-2
libebml 1.4.2-1
libedit 20210910_3.1-1
libelf 0.186-5
libepoxy 1.5.9-1
libev 4.33-1
libevdev 1.12.0-1
libevent 2.1.12-1
libexif 0.6.24-1
libfdk-aac 2.0.2-1
libffi 3.4.2-4
libfontenc 1.1.4-3
libfreeaptx 0.1.1-1
libgcrypt 1.9.4-1
libgdiplus 5.6.1-3
libgit2 1:1.3.0-1
libglvnd 1.4.0-1
libgpg-error 1.44-1
libgphoto2 2.5.28-1
libgudev 237-1
libharu 2.3.0-5
libheif 1.12.0-2
libibus 1.5.25-5
libice 1.0.10-3
libid3tag 0.15.1b-11
libidn 1.38-1
libidn2 2.3.2-1
libiec61883 1.2.0-6
libimagequant 2.17.0-1
libindicator-gtk2 12.10.1-9
libinput 1.19.3-2
libisoburn 1.5.4-2
libisofs 1.5.4-1
libjpeg-turbo 2.1.2-1
libjpeg6-turbo 1.5.3-2
libksba 1.6.0-1
libldac 2.0.2.3-1
